,thema,date,score
0,196490,2020.12.17,94
1,196490,2020-11-25,40
2,196490,2020-11-13,55
3,196490,2020-10-30,88
4,196490,2020-10-07,64
5,196490,2020.09.29,82
6,196490,2020.09.24,90
7,196490,2020-09-17,42
8,196490,2020.09.11,70
9,196490,2020-09-11,72
10,196490,2020-09-10,50
11,196490,2020.09.04,78
12,196490,2020-09-04,71
13,196490,2020.09.02,53
14,196490,2020-09-02,60
15,196490,2020-08-28,75
16,196490,2020-08-21,85
17,196490,2020-08-14,51
18,196490,2020-08-06,86
19,196490,2020.08.05,64
20,196490,2020-08-05,65
21,196490,2020-07-30,83
22,196490,2020-07-21,100
